dicofre;designacao;codigo;lat;long;area;pop;site;district;parish;nuts3;nuts2
411;Vimioso;VMS;41.582419;-6.532917;481.59;4669;http://www.cm-vimioso.pt/;Bragança;10;Terras de Trás-os-Montes;Norte
412;Vinhais;VNH;41.832639;-7.008054;694.76;9066;http://www.cm-vinhais.pt/;Bragança;26;Terras de Trás-os-Montes;Norte
501;Belmonte;BMT;40.366667;-7.35;118.76;6204;http://www.cm-belmonte.pt/;Castelo Branco;4;Beiras e Serra da Estrela;Centro
502;Castelo Branco;CTB;39.816667;-7.5;1438.19;52291;http://www.cm-castelobranco.pt/;Castelo Branco;19;Beira Baixa;Centro
503;Covilhã;CVL;40.283333;-7.5;555.60;46457;http://www.cm-covilha.pt;Castelo Branco;21;Beiras e Serra da Estrela;Centro
504;Fundão;FND;40.133333;-7.5;700.20;26509;http://www.cm-fundao.pt;Castelo Branco;23;Beiras e Serra da Estrela;Centro
505;Idanha-a-Nova;IDN;39.916667;-7.233333;1416.34;8340;http://www.cm-idanhanova.pt/;Castelo Branco;13;Beira Baixa;Centro
506;Oleiros;OLR;39.918611;-7.912778;464.67;4900;http://www.cm-oleiros.pt/;Castelo Branco;10;Beira Baixa;Centro
507;Penamacor;PNC;40.168333;-7.167222;563.71;4764;http://www.cm-penamacor.pt;Castelo Branco;9;Beira Baixa;Centro
508;Proença-a-Nova;PNV;39.750964;-7.9247;385.39;7147;http://www.cm-proencanova.pt;Castelo Branco;4;Beira Baixa;Centro
509;Sertã;SRT;39.800833;-8.100278;453.13;14748;http://www.cm-serta.pt;Castelo Branco;10;Médio Tejo;Centro
510;Vila de Rei;VLR;39.676944;-8.1425;191.55;3276;http://www.cm-viladerei.pt/;Castelo Branco;3;Médio Tejo;Centro
511;Vila Velha de Ródão;VVR;39.651389;-7.673333;329.91;3287;http://www.cm-vvrodao.pt/;Castelo Branco;4;Beira Baixa;Centro
601;Arganil;AGN;40.216667;-8.05;332.84;11596;http://www.cm-arganil.pt;Coimbra;14;Região de Coimbra;Centro
602;Cantanhede;CNT;40.35;-8.591667;390.88;34218;http://www.cm-cantanhede.pt/;Coimbra;14;Região de Coimbra;Centro
603;Coimbra;CBR;40.211111;-8.429167;319.4;140796;http://www.cm-coimbra.pt/;Coimbra;18;Região de Coimbra;Centro
604;Condeixa-a-Nova;CDN;40.116667;-8.5;138.68;17078;https://www.cm-condeixa.pt;Coimbra;7;Região de Coimbra;Centro
605;Figueira da Foz;FIG;40.15;-8.85;379.05;62125;http://www.cm-figfoz.pt/;Coimbra;14;Região de Coimbra;Centro
606;Góis;GOI;40.15;-8.116667;263.30;4260;http://www.cm-gois.pt;Coimbra;4;Região de Coimbra;Centro
607;Lousã;LSA;40.116667;-8.25;138.40;17604;http://www.cm-lousa.pt/;Coimbra;4;Região de Coimbra;Centro
608;Mira;MIR;40.433333;-8.733333;124.03;12465;http://www.cm-mira.pt;Coimbra;4;Região de Coimbra;Centro
609;Miranda do Corvo;MCV;40.1;-8.333333;126.38;13098;http://www.cm-mirandadocorvo.pt;Coimbra;4;Região de Coimbra;Centro
610;Montemor-o-Velho;MMV;40.166667;-8.683333;228.96;26171;http://www.cm-montemorvelho.pt/;Coimbra;11;Região de Coimbra;Centro
611;Oliveira do Hospital;OHP;40.360278;-7.861667;234.52;19421;http://www.cm-oliveiradohospital.pt;Coimbra;16;Região de Coimbra;Centro
612;Pampilhosa da Serra;PPS;40.05;-7.95;396.46;4083;http://www.cm-pampilhosadaserra.pt/;Coimbra;8;Região de Coimbra;Centro
613;Penacova;PCV;40.270556;-8.282778;216.73;13119;http://www.cm-penacova.pt/;Coimbra;8;Região de Coimbra;Centro
614;Penela;PNL;40.033333;-8.383333;132.49;5983;http://www.cm-penela.pt;Coimbra;4;Região de Coimbra;Centro
615;Soure;SRE;40.05;-8.633333;263.91;19245;http://www.cm-soure.pt;Coimbra;10;Região de Coimbra;Centro
616;Tábua;TBU;40.360345;-8.029032;199.79;12071;http://www.cm-tabua.pt/;Coimbra;11;Região de Coimbra;Centro
617;Vila Nova de Poiares;PRS;40.210833;-8.2575;84.45;7281;http://www.cm-vilanovadepoiares.pt/;Coimbra;4;Região de Coimbra;Centro
701;Alandroal;ADL;38.7;-7.4;542.68;5007;http://www.cm-alandroal.pt/;Évora;4;Alentejo Central;Alentejo
702;Arraiolos;ARL;38.716667;-7.983333;683.75;6619;http://www.cm-arraiolos.pt/;Évora;5;Alentejo Central;Alentejo
703;Borba;BRB;38.8;-7.45;145.19;6428;http://www.cm-borba.pt/;Évora;4;Alentejo Central;Alentejo
704;Estremoz;ETZ;38.85;-7.65;513.80;12683;http://www.cm-estremoz.pt/;Évora;9;Alentejo Central;Alentejo
705;Évora;EVR;38.570833;-7.909444;1307.08;53591;http://www.cm-evora.pt/;Évora;12;Alentejo Central;Alentejo
706;Montemor-o-Novo;MMN;38.65;-8.216667;1232.97;15804;http://www.cm-montemornovo.pt/;Évora;7;Alentejo Central;Alentejo
707;Mora;MOR;38.948611;-8.175278;443.95;4135;http://www.cm-mora.pt;Évora;4;Alentejo Central;Alentejo
708;Mourão;MOU;38.384722;-7.344444;278.63;2351;http://www.cm-mourao.pt/;Évora;3;Alentejo Central;Alentejo
709;Portel;PRL;38.308333;-7.705556;601.01;5747;http://www.cm-portel.pt/;Évora;6;Alentejo Central;Alentejo
710;Redondo;RDD;38.646667;-7.546667;369.51;6300;http://www.cm-redondo.pt/;Évora;2;Alentejo Central;Alentejo
711;Reguengos de Monsaraz;RMZ;38.425556;-7.538611;464.00;9871;http://www.cm-reguengos-monsaraz.pt/;Évora;4;Alentejo Central;Alentejo
712;Vendas Novas;VND;38.683333;-8.45;222.39;11260;https://www.cm-vendasnovas.pt;Évora;2;Alentejo Central;Alentejo
713;Viana do Alentejo;VNT;38.333056;-8.001667;393.67;5319;http://www.cm-vianadoalentejo.pt;Évora;3;Alentejo Central;Alentejo
714;Vila Viçosa;VVC;38.77657;-7.416887;194.86;7388;http://www.cm-vilavicosa.pt/;Évora;4;Alentejo Central;Alentejo
801;Albufeira;ABF;37.083333;-8.25;140.66;44158;http://www.cm-albufeira.pt/;Faro;4;Algarve;Algarve
802;Alcoutim;ACT;37.466667;-7.466667;575.36;2521;http://www.cm-alcoutim.pt/;Faro;4;Algarve;Algarve
803;Aljezur;AJZ;37.316667;-8.8;323.50;6046;http://www.cm-aljezur.pt;Faro;4;Algarve;Algarve
804;Castro Marim;CTM;37.21743;-7.44347;300.84;6434;http://www.cm-castromarim.pt;Faro;4;Algarve;Algarve
805;Faro;FAR;37.01728;-7.93370;202.57;67650;https://www.cm-faro.pt/;Faro;4;Algarve;Algarve
806;Lagoa;LAG;37.75;-8.45;45.57;14416;http://www.cm-lagoa.pt;Faro;4;Algarve;Algarve
807;Lagos;LGS;37.1;-8.666667;212.99;33514;http://www.cm-lagos.pt/;Faro;4;Algarve;Algarve
808;Loulé;LLE;37.15;-8;763.67;72373;http://www.cm-loule.pt;Faro;9;Algarve;Algarve
809;Monchique;MCQ;37.316667;-8.633333;395.30;5465;http://www.cm-monchique.pt/;Faro;3;Algarve;Algarve
